classifier,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
BernoulliNB,1.0,0.1564703999994379,0.8363792781921715,1.5354384430565915e-13,4.440892098500626e-16,9.382883259245745e-08,1.295596963046819e-11,6.217248937900877e-15,5.311306949806749e-13,0.999999999313056,0.09067241551534833,2.220446049250313e-16
ComplementNB,0.1564703999994379,1.0,0.00023646210345196206,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.08430155831575781,0.9999999998096463,2.220446049250313e-16
"DW-NB(k=15,CV-λ)",0.8363792781921715,0.00023646210345196206,1.0,4.8992461643138085e-08,3.8470404639667777e-10,0.0011008745005672838,1.5297390284496615e-06,3.895861300229342e-09,1.2932975390622659e-07,0.9317759349726347,8.62720881064094e-05,6.217248937900877e-15
"DW-NB(k=15,λ=0.5)",1.5354384430565915e-13,2.220446049250313e-16,4.8992461643138085e-08,1.0,0.9998896513238805,0.7778979480382879,0.9999904028095463,0.9999998292218572,0.9999999999917966,9.78994663114463e-13,2.220446049250313e-16,0.5819165148190316
"DW-NB(k=30,λ=0.5)",4.440892098500626e-16,2.220446049250313e-16,3.8470404639667777e-10,0.9998896513238805,1.0,0.2807797350873701,0.9794749924276517,0.9999999631695717,0.999277994629198,2.6645352591003757e-15,2.220446049250313e-16,0.9581107163912693
"DW-NB(k=5,λ=0.5)",9.382883259245745e-08,2.220446049250313e-16,0.0011008745005672838,0.7778979480382879,0.2807797350873701,1.0,0.9794749924276516,0.5055890067463574,0.8620469137455142,3.893161115708921e-07,2.220446049250313e-16,0.0032915006477439723
DW-NB(w1-only),1.295596963046819e-11,2.220446049250313e-16,1.5297390284496615e-06,0.9999904028095463,0.9794749924276517,0.9794749924276516,1.0,0.9984175696090877,0.9999996602703608,7.252320965989156e-11,2.220446049250313e-16,0.2125411841347471
DW-NB(w2-only),6.217248937900877e-15,2.220446049250313e-16,3.895861300229342e-09,0.9999998292218572,0.9999999631695717,0.5055890067463574,0.9984175696090877,1.0,0.9999940691701151,4.318767565791859e-14,2.220446049250313e-16,0.8363792781921715
DW-NB(w3-only),5.311306949806749e-13,2.220446049250313e-16,1.2932975390622659e-07,0.9999999999917966,0.999277994629198,0.8620469137455142,0.9999996602703608,0.9999940691701151,1.0,3.270050896730936e-12,2.220446049250313e-16,0.4679048758264528
GaussianNB,0.999999999313056,0.08430155831575781,0.9317759349726347,9.78994663114463e-13,2.6645352591003757e-15,3.893161115708921e-07,7.252320965989156e-11,4.318767565791859e-14,3.270050896730936e-12,1.0,0.045416619295558514,2.220446049250313e-16
MultinomialNB,0.09067241551534833,0.9999999998096463,8.62720881064094e-05,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.045416619295558514,1.0,2.220446049250313e-16
NB+kNN-Ensemble,2.220446049250313e-16,2.220446049250313e-16,6.217248937900877e-15,0.5819165148190316,0.9581107163912693,0.0032915006477439723,0.2125411841347471,0.8363792781921715,0.4679048758264528,2.220446049250313e-16,2.220446049250313e-16,1.0
