dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
balance_scale,0.5721954700031936,0.7813384039545455,0.8314725964310068,0.8256515704055231,0.828985827764197,0.8281688648142026,0.8286254502348005,0.8257375314701196,0.8319784391416267,0.832099258770115,0.7820913140561052,0.8257375314701196
banknote,0.6951698967612171,0.46292673198323264,0.9970710833292141,0.9927031543173938,0.9810188095025218,0.9956066249938212,0.9927031543173938,0.9867917738154578,0.9927031543173938,0.6719776132645902,0.3291695901217312,0.9867917738154578
breast_cancer,0.8573931500126672,0.6991769823419507,0.9297282893916214,0.86402574493295,0.8611359822613407,0.8856289900926958,0.86402574493295,0.86402574493295,0.8785160266035719,0.8572898165526915,0.6687368788456227,0.86402574493295
digits,0.8734351184190203,0.8034268601909526,0.973536963811157,0.868249304013778,0.8454493405375694,0.902105730707883,0.865883602685251,0.8652592297117252,0.871938311255063,0.7719135788633447,0.8903488648273468,0.8571450596483595
ecoli,0.6980300796351513,0.5816896685603976,0.7519853707131314,0.7546667359324258,0.7546667359324258,0.7546667359324258,0.7546667359324258,0.7546667359324258,0.7546667359324258,0.6595781523285555,0.029605516138483175,0.7546667359324258
glass,0.559596807619299,0.33061989992385427,0.6054399265147664,0.46137481670487795,0.46137481670487795,0.4995754428522118,0.46173758347054505,0.4537289533030225,0.49461438112779266,0.3163208387593486,0.25349177505495846,0.4766156640398226
ionosphere,0.5111231529200003,0.47125809419189996,0.7511871083383754,0.7785577232619214,0.757741462698846,0.777543160337764,0.7785577232619214,0.7727625737898678,0.7846516496293015,0.74754916020441,0.1131562068925827,0.7727625737898678
iris,0.6612627882608695,0.610060757225094,0.9162634927202873,0.9340408475409836,0.9340408475409836,0.9340408475409836,0.9340408475409836,0.924646914994877,0.9340408475409836,0.9340408475409836,0.7045040898539242,0.924646914994877
letter,0.3998743660512488,0.3911438263906891,0.9463749487979444,0.8468444580681519,0.8092797099669944,0.9097969907270604,0.8425265009799962,0.8360339970219259,0.8664916762368107,0.6302502362119818,0.5085514897044907,0.8448128243339298
optdigits,0.8838675808989851,0.8054189680368655,0.9749501565449771,0.8467726635731128,0.817666151600894,0.8700817553744571,0.8435729990244303,0.8433702459024417,0.8462652446472767,0.7054478357552599,0.8973998703713585,0.8852808399905829
page_blocks,0.4802412674603825,0.5816316548941083,0.802732638224232,0.7214092038257427,0.7045124594817205,0.7525906236874065,0.733278121180416,0.7214843708308656,0.7237415106492316,0.5705753560759771,0.05261929751127218,0.7009682471534437
parkinsons,0.4655360799918178,0.4267540116718319,0.6944956376199306,0.48168512873648356,0.4711589734893592,0.6752484920428866,0.48168512873648356,0.4771156487505901,0.48754588894826084,0.4783665797143389,0.5394137315388904,0.4771156487505901
pendigits,0.7907897155135433,0.6766333600959289,0.9900064336407945,0.96499234922572,0.9448295962687879,0.9791055130174555,0.9641870373558465,0.9641870373558465,0.9663084476402709,0.8417040561661745,0.7810057348833573,0.9660938574414377
robot_navigation,0.4113420253403608,0.3897725081484038,0.7983913391256161,0.6337240574464812,0.5535385856068655,0.7522758032761125,0.6478848776340246,0.6095449954622174,0.6546662757554111,0.39088709615861966,0.358610572649973,0.5815726161178233
satellite,0.6370879335333811,0.5031199911289443,0.885272942523186,0.8062737735899035,0.7917653257945603,0.8294624543958736,0.8027451377813973,0.8023606049526452,0.8057783369003998,0.7520473937578438,0.5204320022501002,0.8160325593053377
segment,0.6819949766078459,0.45375122017701636,0.9363104072765219,0.8670042692321973,0.824160971704574,0.9228687437911949,0.8819250311426652,0.8665389864635495,0.8728000824929023,0.7704435409010642,0.7321467333351777,0.8544128773381999
sonar,0.5110357818663154,0.49315890704042076,0.5875520629808589,0.42482522133540723,0.4055583554456959,0.5656085946287425,0.435227408304098,0.435227408304098,0.4646733390219384,0.39266897041087506,0.5108134199355773,0.435227408304098
spambase,0.7952912864806124,0.699742378747182,0.8383436005069728,0.683278865675198,0.6772929686853487,0.7006329151355247,0.6847148991627492,0.6828444884323505,0.6843138974133517,0.6684521181783674,0.7705808201871335,0.7213758647850155
transfusion,0.2997728052320764,0.3073110768925523,0.32025749956314503,0.22955568500932752,0.20467940210770505,0.27090197974082086,0.21391681908514673,0.2156557058140376,0.24643376364346473,0.14992585701882305,0.0,0.2156557058140376
vehicle,0.30713174874125293,0.32951473827796607,0.6089584733974377,0.5190706272659333,0.46765723060895736,0.5670086794743198,0.5103693478908646,0.5106858579562487,0.5404885185025733,0.2989739817549596,0.3870999077714939,0.5082391393761636
vowel,0.31775582483774867,0.2714807766329616,0.9111429869356702,0.8328980229821997,0.7795128917577998,0.9505566118452432,0.8480491263480074,0.7577667793194948,0.8876327073681244,0.6446404301099975,0.4097100987728983,0.7320286628686394
waveform,0.6897599899875916,0.6356571950014971,0.7462999651636293,0.7313497114405341,0.731636852549309,0.7287914600393506,0.7332066276896939,0.7329498996978883,0.7323162763081333,0.7182386339618977,0.7421994941610082,0.7329498996978883
wine,0.893287110646863,0.8140591631262213,0.9757009345794392,0.9756300853057972,0.9677241047164784,0.9841500941770365,0.9756300853057972,0.9756300853057972,0.966822429906542,0.9677241047164784,0.9212606665216991,0.9756300853057972
yeast,0.31698875608548327,0.38230860380262166,0.4349048092839789,0.3866597955164043,0.3866597955164043,0.3866597955164043,0.41389686619222765,0.38631805040622724,0.3991740378900034,0.148348942407195,0.09446953143341216,0.27924233123129805
